NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
2712,1299,972,644,0,0,2
1862,1277,851,603,5,1,1
1915,1404,596,454,0,0,0
1891,1362,673,208,0,0,0
2076,1262,1126,706,2,0,0
1939,1235,930,691,0,0,0
2026,1244,989,542,0,0,0
2111,1332,712,528,0,0,0
2066,1012,1098,607,0,0,0
1770,1335,730,761,0,0,0
1723,991,777,701,2,1,5
2054,1154,720,750,4,0,0
1870,1141,915,676,0,1,7
1560,1234,766,525,0,0,0
1570,1033,675,661,0,1,4
2132,1373,758,529,1,0,1
2006,1038,912,575,2,0,0
2607,1130,810,747,0,0,0
2356,1170,948,637,0,1,0
1774,1516,672,529,0,0,1
2077,1469,979,564,1,0,1
2197,1345,972,807,0,0,1
2356,1163,987,324,0,0,0
2140,1097,864,590,0,0,0
2146,1128,1018,591,1,0,0
2049,1068,924,476,1,1,5
2252,1315,685,601,0,0,2
1971,1382,779,456,0,0,0
2470,1248,832,362,0,0,0
2108,1541,727,799,0,0,0
2996,1317,680,463,0,0,0
2239,1113,948,481,1,9,4
1979,1422,924,660,0,0,0
2197,1338,720,581,0,0,0
1816,1480,656,642,0,0,0
2037,1296,741,772,0,2,1
